sku,name,product_type,category,subcategory,brand,price,currency,gender,status,description,materials,sizes,image_urls
HL-TSH-001,Boxy Cotton Tee,clothes,Clothing,Western,House Label,1299,INR,women,active,Relaxed boxy fit in heavyweight organic cotton with a dropped shoulder.,Cotton,XS:4|S:8|M:10|L:6|XL:3,https://picsum.photos/seed/HL-TSH-001/800/1000|https://picsum.photos/seed/HL-TSH-001b/800/1000
HL-KUR-002,Block Print Kurta,clothes,Clothing,Ethnic,House Label,2499,INR,women,active,Hand block printed straight kurta in soft cotton with wooden buttons.,Cotton|Rayon,S:5|M:7|L:5|XL:2,https://picsum.photos/seed/HL-KUR-002/800/1000|https://picsum.photos/seed/HL-KUR-002b/800/1000
HL-BAG-003,Woven Canvas Tote,accessories,Accessories,Bags,House Label,1899,INR,unisex,active,Everyday tote in heavy woven cotton canvas with a zip pocket.,Cotton,One Size:20,https://picsum.photos/seed/HL-BAG-003/800/1000
HL-SNK-004,Court Sneaker,footwear,Footwear,Sneakers,Generic,3299,INR,unisex,active,Low-profile court sneaker with a stitched leather upper and rubber sole.,Leather,UK 5:3|UK 6:5|UK 7:5|UK 8:4|UK 9:2,https://picsum.photos/seed/HL-SNK-004/800/1000|https://picsum.photos/seed/HL-SNK-004b/800/1000
HL-DRS-005,Bias Slip Dress,clothes,Clothing,Western,House Label,3499,INR,women,active,Bias-cut midi slip in washed satin with adjustable straps.,Polyester|Silk,XS:3|S:6|M:6|L:4,https://picsum.photos/seed/HL-DRS-005/800/1000|https://picsum.photos/seed/HL-DRS-005b/800/1000
HL-SHR-006,Camp Collar Shirt,clothes,Clothing,Western,House Label,2199,INR,men,active,Boxy camp-collar shirt in breathable linen blend.,Linen|Cotton,S:5|M:8|L:8|XL:5,https://picsum.photos/seed/HL-SHR-006/800/1000|https://picsum.photos/seed/HL-SHR-006b/800/1000
HL-SAR-007,Handloom Cotton Saree,clothes,Clothing,Ethnic,House Label,4299,INR,women,active,Handloom cotton saree with a contrast temple border and running blouse piece.,Cotton,One Size:12,https://picsum.photos/seed/HL-SAR-007/800/1000|https://picsum.photos/seed/HL-SAR-007b/800/1000
HL-EAR-008,Ceramic Drop Earrings,accessories,Accessories,Jewellery,House Label,899,INR,women,active,Hand-glazed ceramic drops on gold-plated hooks. Lightweight.,Ceramic,One Size:30,https://picsum.photos/seed/HL-EAR-008/800/1000
HL-NCK-009,Layered Chain Necklace,accessories,Accessories,Jewellery,Generic,1499,INR,women,active,Three-strand layered chain in tarnish-resistant gold-tone brass.,Brass,One Size:18,https://picsum.photos/seed/HL-NCK-009/800/1000
HL-BAG-010,Structured Mini Bag,accessories,Accessories,Bags,House Label,3899,INR,women,active,Structured top-handle mini bag with a detachable crossbody strap.,Leather,One Size:9,https://picsum.photos/seed/HL-BAG-010/800/1000|https://picsum.photos/seed/HL-BAG-010b/800/1000
HL-SND-011,Puff Strap Sandals,footwear,Footwear,Sandals,House Label,2599,INR,women,active,Padded puff-strap slides on a low block heel.,Leather|Foam,UK 4:4|UK 5:6|UK 6:6|UK 7:4,https://picsum.photos/seed/HL-SND-011/800/1000|https://picsum.photos/seed/HL-SND-011b/800/1000
HL-SNK-012,Retro Runner,footwear,Footwear,Sneakers,Generic,3999,INR,men,active,Suede-and-mesh retro runner with a gum outsole.,Suede|Nylon,UK 6:5|UK 7:7|UK 8:7|UK 9:5|UK 10:3,https://picsum.photos/seed/HL-SNK-012/800/1000|https://picsum.photos/seed/HL-SNK-012b/800/1000
HL-JKT-013,Cropped Denim Jacket,clothes,Clothing,Western,House Label,3299,INR,women,active,Cropped trucker jacket in rigid denim with a raw hem.,Denim,XS:3|S:5|M:5|L:4|XL:2,https://picsum.photos/seed/HL-JKT-013/800/1000|https://picsum.photos/seed/HL-JKT-013b/800/1000
HL-TRS-014,Pleated Wide Trousers,clothes,Clothing,Western,House Label,2799,INR,women,active,High-rise pleated wide-leg trousers in a fluid crepe.,Polyester|Viscose,XS:4|S:6|M:6|L:5,https://picsum.photos/seed/HL-TRS-014/800/1000
HL-KUR-015,Chikankari Anarkali,clothes,Clothing,Ethnic,House Label,5499,INR,women,active,Hand chikankari anarkali kurta with sheer sleeves and a lining.,Cotton|Georgette,S:3|M:5|L:5|XL:3,https://picsum.photos/seed/HL-KUR-015/800/1000|https://picsum.photos/seed/HL-KUR-015b/800/1000
HL-TSH-016,Heavyweight Pocket Tee,clothes,Clothing,Western,House Label,1499,INR,men,active,Garment-dyed heavyweight tee with a chest pocket.,Cotton,S:6|M:10|L:10|XL:6|XXL:3,https://picsum.photos/seed/HL-TSH-016/800/1000
HL-BLT-017,Braided Leather Belt,accessories,Accessories,Jewellery,Generic,1199,INR,unisex,active,Braided full-grain leather belt with an antique brass buckle.,Leather,S:8|M:10|L:8,https://picsum.photos/seed/HL-BLT-017/800/1000
HL-SND-018,Toe-Ring Flats,footwear,Footwear,Sandals,House Label,1799,INR,women,draft,Minimal toe-ring flats in soft nappa with a cushioned footbed.,Leather,UK 4:0|UK 5:6|UK 6:6|UK 7:4,https://picsum.photos/seed/HL-SND-018/800/1000
